| id | file | function | prov | mutation | verdict | failing tests |
| M40 | lib/accounts.sh | `mark_dead_for_class` | NEW | ignore the parsed reset time: every LIMIT takes the 5h fallback | killed | 20-parsed-reset-honored |
| M41 | lib/accounts.sh | `is_account` | NEW | accept every name (the guard always says yes) | killed | 11-plain-baton-execs, 16-dead-mark-invalidates-alive-cache, 17-account-name-boundary, 19-arg-passthrough |
| M42 | lib/accounts.sh | `is_uint` | NEW | drop the digit-length cap (arithmetic overflow reachable again) | killed | 15-adversarial-durations |
| M43 | lib/watch.sh | `night_knobs` | NEW | drop the BATON_WATCH_INTERVAL validation | killed | 18-night-env-knobs |
| M44 | lib/watch.sh | `night_knobs` | NEW | cap validated with the decimal predicate, so 1.5 reaches [ -gt ] | killed | 18-night-env-knobs |
| M45 | lib/detect.sh | `parse_reset_epoch` | NEW | ignore the message's timezone group (read the clock in local time) | killed | unit:parse_reset_epoch:one-hour-ahead-is-today, unit:parse_reset_epoch:one-hour-past-rolls-to-tomorrow, 20-parsed-reset-honored |
| M47 | lib/accounts.sh | `is_unum` | NEW | accept more than one decimal point (1.2.3 reaches sleep as a number) | killed | 18-night-env-knobs |
| M46 | lib/detect.sh | `parse_reset_epoch` | SHARED | a message with no minutes defaults to :30 instead of :00 | killed | unit:parse_reset_epoch:no-minutes-means-zero |

mutants run: 47   killed: 46   survived: 1 (M31)
git status --porcelain after run:
 M .ab/mutation-run.py

